year,record_scope,row_type,regime,level,entity_id,chgis_sys_id,state_id,state_name,prefecture_id,prefecture_name,county_id,county_name,administrative_name,map_label,is_fief,fief_id,fief_rank,holder_text,uncertain,qiao,longitude,latitude,map_drawn,geometry_status,unmapped_reason,chgis_source,book_page,pdf_page,source_title,source_url
588,yearbook_588,administrative_entity,南陳,county,ch_c0105,40821,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0105,遂安,遂安,遂安,0,,,,0,0,118.73839900499952,29.48077299340077,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0907,,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0907,黟,黟,黟,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0106,41319,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0106,歙,歙,歙,0,,,,0,0,118.4339450047132,29.865769994628593,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0107,40817,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0107,壽昌,壽昌,壽昌,0,,,,0,0,119.0953240046328,29.307031991535695,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0108,41327,ch_s0003,東揚州,ch_p0018,新安郡,ch_c0108,海寧,海寧,海寧,0,,,,1,0,118.22474700451399,29.782716995486314,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0019,32267,ch_s0003,東揚州,ch_p0019,東陽郡,,,東陽郡,東陽郡,0,,,,0,0,119.64991800169877,29.104711987812923,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0109,40703,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0109,長山,長山,長山,0,,,,0,0,119.64991800169877,29.104711987812923,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0110,40638,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0110,太末,太末,太末,0,,,,0,0,119.17237900467323,29.034787991230512,1,seat,,CHGIS V6,1373,475,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0111,40719,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0111,烏傷,烏傷,烏傷,0,,,,0,0,120.07162499514418,29.300086983895575,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0112,40726,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0112,永康,永康,永康,0,,,,0,0,120.02525299721118,28.89726798474842,1,seat,,CHGIS V6,1374,476,,
